CollegeName,Location,Course,Category,Rank,MerirMarks
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,ELECTRONICS & COMMUNICATION ENGINEERING,DS,36000,0
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,ELECTRONICS & COMMUNICATION ENGINEERING,EVS,36000,0
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,ELECTRONICS & COMMUNICATION ENGINEERING,EWS,36000,0
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,ELECTRONICS & COMMUNICATION ENGINEERING,Open,36000,0
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,ELECTRONICS & COMMUNICATION ENGINEERING,SC,36000,0
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,ELECTRONICS & COMMUNICATION ENGINEERING,SEBC,36000,0
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,ELECTRONICS & COMMUNICATION ENGINEERING,TFW,16808,58.53400375
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,MECHANICAL ENGINEERING,DS,36000,0
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,MECHANICAL ENGINEERING,EVS,36000,0
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,MECHANICAL ENGINEERING,EWS,36000,0
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,MECHANICAL ENGINEERING,Open,36000,0
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,MECHANICAL ENGINEERING,SC,36000,0
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,MECHANICAL ENGINEERING,SEBC,36000,0
Shri Swami Atmanand Saraswati Institute Of Technology, Surat,MECHANICAL ENGINEERING,TFW,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL ENGINEERING,DS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL ENGINEERING,EVS,32602,15.45730352
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL ENGINEERING,EWS,32602,15.45730352
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL ENGINEERING,Open,19781,51.06015719
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL ENGINEERING,SC,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL ENGINEERING,SEBC,25508,36.83486509
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL ENGINEERING,TFW,12883,68.01404195
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL TECHNOLOGY,DS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL TECHNOLOGY,EVS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL TECHNOLOGY,EWS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL TECHNOLOGY,Open,32903,14.1303075
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL TECHNOLOGY,SC,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL TECHNOLOGY,SEBC,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",CHEMICAL TECHNOLOGY,TFW,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",COMPUTER ENGINEERING,DS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",COMPUTER ENGINEERING,EVS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",COMPUTER ENGINEERING,EWS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",COMPUTER ENGINEERING,Open,34080,7.05585282
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",COMPUTER ENGINEERING,SC,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",COMPUTER ENGINEERING,SEBC,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",COMPUTER ENGINEERING,TFW,11524,71.13020286
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ELECTRICAL ENGINEERING,DS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ELECTRICAL ENGINEERING,EVS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ELECTRICAL ENGINEERING,EWS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ELECTRICAL ENGINEERING,Open,32765,14.74701061
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ELECTRICAL ENGINEERING,SC,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ELECTRICAL ENGINEERING,SEBC,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ELECTRICAL ENGINEERING,TFW,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ENVIRONMENTAL SCIENCE & TECHNOLOGY,DS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ENVIRONMENTAL SCIENCE & TECHNOLOGY,EVS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ENVIRONMENTAL SCIENCE & TECHNOLOGY,EWS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ENVIRONMENTAL SCIENCE & TECHNOLOGY,Open,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ENVIRONMENTAL SCIENCE & TECHNOLOGY,SC,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ENVIRONMENTAL SCIENCE & TECHNOLOGY,SEBC,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",ENVIRONMENTAL SCIENCE & TECHNOLOGY,TFW,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",MECHANICAL ENGINEERING,DS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",MECHANICAL ENGINEERING,EVS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",MECHANICAL ENGINEERING,EWS,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",MECHANICAL ENGINEERING,Open,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",MECHANICAL ENGINEERING,SC,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",MECHANICAL ENGINEERING,SEBC,36000,0
Shroff S.R.Rotary Institute Of Chemical Technology," Vatatia,Bharuch",MECHANICAL ENGINEERING,TFW,36000,0
Sigma Institute Of Engineering, Bakrol,CHEMICAL ENGINEERING (GREEN TECHNOLOGY AND,DS,36000,0
Sigma Institute Of Engineering, Bakrol,CHEMICAL ENGINEERING (GREEN TECHNOLOGY AND,EVS,36000,0
Sigma Institute Of Engineering, Bakrol,CHEMICAL ENGINEERING (GREEN TECHNOLOGY AND,EWS,36000,0
Sigma Institute Of Engineering, Bakrol,CHEMICAL ENGINEERING (GREEN TECHNOLOGY AND,Open,36000,0
Sigma Institute Of Engineering, Bakrol,CHEMICAL ENGINEERING (GREEN TECHNOLOGY AND,SC,36000,0
Sigma Institute Of Engineering, Bakrol,CHEMICAL ENGINEERING (GREEN TECHNOLOGY AND,SEBC,36000,0
Sigma Institute Of Engineering, Bakrol,CHEMICAL ENGINEERING (GREEN TECHNOLOGY AND,TFW,36000,0
Sigma Institute Of Engineering, Bakrol,CIVIL ENGINEERING,DS,36000,0
Sigma Institute Of Engineering, Bakrol,CIVIL ENGINEERING,EVS,36000,0
Sigma Institute Of Engineering, Bakrol,CIVIL ENGINEERING,EWS,36000,0
Sigma Institute Of Engineering, Bakrol,CIVIL ENGINEERING,Open,36000,0
Sigma Institute Of Engineering, Bakrol,CIVIL ENGINEERING,SC,36000,0
Sigma Institute Of Engineering, Bakrol,CIVIL ENGINEERING,SEBC,36000,0
Sigma Institute Of Engineering, Bakrol,CIVIL ENGINEERING,TFW,36000,0
Sigma Institute Of Engineering, Bakrol,COMPUTER ENGINEERING,DS,36000,0
Sigma Institute Of Engineering, Bakrol,COMPUTER ENGINEERING,EVS,36000,0
Sigma Institute Of Engineering, Bakrol,COMPUTER ENGINEERING,EWS,36000,0
